Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000000      | 831326       | 938817       | List         | 2,032500 ms          | 0,000400 ms          | 280,933000 ms        | 280,932600 ms       Binært søk 5081,25 ganger raskere. Med sortering: Lineært søk 138,22 ganger raskere.
1000000      | 831326       | ------       | LinkedList   | 2,286000 ms          | ------               | ------               | ------               
1000000      | 404486       | 132483       | Array        | 0,492000 ms          | 0,001000 ms          | 186,240700 ms        | 186,239700 ms       Binært søk 492,00 ganger raskere. Med sortering: Lineært søk 378,54 ganger raskere.
1000000      | 404486       | 132483       | List         | 0,977300 ms          | 0,001100 ms          | 288,906500 ms        | 288,905400 ms       Binært søk 888,45 ganger raskere. Med sortering: Lineært søk 295,62 ganger raskere.
1000000      | 404486       | ------       | LinkedList   | 1,780500 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | Nonexistent  | Array        | 1,498900 ms          | 0,000100 ms          | 172,802300 ms        | 172,802200 ms       Binært søk 14989,00 ganger raskere. Med sortering: Lineært søk 115,29 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,424000 ms          | 0,000600 ms          | 251,464900 ms        | 251,464300 ms       Binært søk 4040,00 ganger raskere. Med sortering: Lineært søk 103,74 ganger raskere.
1000000      | Nonexistent  | ------       | LinkedList   | 2,670300 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | Nonexistent  | Array        | 1,221500 ms          | 0,000100 ms          | 180,810400 ms        | 180,810300 ms       Binært søk 12215,00 ganger raskere. Med sortering: Lineært søk 148,02 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,431200 ms          | 0,000400 ms          | 297,853600 ms        | 297,853200 ms       Binært søk 6078,00 ganger raskere. Med sortering: Lineært søk 122,51 ganger raskere.
1000000      | Nonexistent  | ------       | LinkedList   | 3,226000 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | Nonexistent  | Array        | 1,303800 ms          | 0,000200 ms          | 154,947100 ms        | 154,946900 ms       Binært søk 6519,00 ganger raskere. Med sortering: Lineært søk 118,84 ganger raskere.
1000000      | Nonexistent  | Nonexistent  | List         | 2,419700 ms          | 0,000400 ms          | 284,690000 ms        | 284,689600 ms       Binært søk 6049,25 ganger raskere. Med sortering: Lineært søk 117,66 ganger raskere.
1000000      | Nonexistent  | ------       | LinkedList   | 2,697500 ms          | ------               | ------               | ------               
10000000     | 9688026      | 5936586      | Array        | 11,876100 ms         | 0,001800 ms          | 1709,094700 ms       | 1709,092900 ms      Binært søk 6597,83 ganger raskere. Med sortering: Lineært søk 143,91 ganger raskere.
10000000     | 9688026      | 5936586      | List         | 23,906700 ms         | 0,002200 ms          | 3072,481000 ms       | 3072,478800 ms      Binært søk 10866,68 ganger raskere. Med sortering: Lineært søk 128,52 ganger raskere.
10000000     | 9688026      | ------       | LinkedList   | 26,151000 ms         | ------               | ------               | ------               
10000000     | 1551384      | 1825793      | Array        | 1,967300 ms          | 0,002000 ms          | 1699,569000 ms       | 1699,567000 ms      Binært søk 983,65 ganger raskere. Med sortering: Lineært søk 863,91 ganger raskere.
10000000     | 1551384      | 1825793      | List         | 3,758300 ms          | 0,002500 ms          | 2887,278200 ms       | 2887,275700 ms      Binært søk 1503,32 ganger raskere. Med sortering: Lineært søk 768,24 ganger raskere.
10000000     | 1551384      | ------       | LinkedList   | 4,178700 ms          | ------               | ------               | ------               
10000000     | 130991       | 8740127      | Array        | 0,158200 ms          | 0,001500 ms          | 1707,104300 ms       | 1707,102800 ms      Binært søk 105,47 ganger raskere. Med sortering: Lineært søk 10790,80 ganger raskere.
10000000     | 130991       | 8740127      | List         | 0,338400 ms          | 0,001500 ms          | 2984,575200 ms       | 2984,573700 ms      Binært søk 225,60 ganger raskere. Med sortering: Lineært søk 8819,67 ganger raskere.
10000000     | 130991       | ------       | LinkedList   | 0,356900 ms          | ------               | ------               | ------               
