Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
10000000     | 1197139      | 4451177      | Array        | 1,461400             | 0,002300 ms          | 1805,540100 ms       | 1805,537800 ms      Binært søk 635,39 ganger raskere. Med sortering: Lineært søk 1235,49 ganger raskere.
10000000     | 8009847      | 3315491      | Array        | 9,861800             | 0,001900 ms          | 1781,410000 ms       | 1781,408100 ms      Binært søk 5190,42 ganger raskere. Med sortering: Lineært søk 180,64 ganger raskere.
10000000     | 5351736      | 311989       | Array        | 6,846900             | 0,001400 ms          | 1732,380900 ms       | 1732,379500 ms      Binært søk 4890,64 ganger raskere. Med sortering: Lineært søk 253,02 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,265100            | 0,000700 ms          | 1793,426000 ms       | 1793,425300 ms      Binært søk 17521,57 ganger raskere. Med sortering: Lineært søk 146,22 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,601900            | 0,001200 ms          | 1775,839700 ms       | 1775,838500 ms      Binært søk 10501,58 ganger raskere. Med sortering: Lineært søk 140,92 ganger raskere.
10000000     | Not found    | Not found    | Array        | 12,342800            | 0,000700 ms          | 1714,662300 ms       | 1714,661600 ms      Binært søk 17632,57 ganger raskere. Med sortering: Lineært søk 138,92 ganger raskere.
1000         | 578          | 53           | Array        | 0,019400             | 0,009700 ms          | 0,144100 ms          | 0,134400 ms         Binært søk 2,00 ganger raskere. Med sortering: Lineært søk 7,43 ganger raskere.
1000         | 70           | 451          | Array        | 0,000500             | 0,000200 ms          | 0,107500 ms          | 0,107300 ms         Binært søk 2,50 ganger raskere. Med sortering: Lineært søk 215,00 ganger raskere.
1000         | 839          | 498          | Array        | 0,001500             | 0,000200 ms          | 0,142400 ms          | 0,142200 ms         Binært søk 7,50 ganger raskere. Med sortering: Lineært søk 94,93 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001400             | 0,000100 ms          | 0,102300 ms          | 0,102200 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 73,07 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001700             | 0,000200 ms          | 0,130100 ms          | 0,129900 ms         Binært søk 8,50 ganger raskere. Med sortering: Lineært søk 76,53 ganger raskere.
1000         | Not found    | Not found    | Array        | 0,001700             | 0,000100 ms          | 0,135900 ms          | 0,135800 ms         Binært søk 17,00 ganger raskere. Med sortering: Lineært søk 79,94 ganger raskere.
10000        | 3860         | 4413         | Array        | 0,005200             | 0,000200 ms          | 1,276000 ms          | 1,275800 ms         Binært søk 26,00 ganger raskere. Med sortering: Lineært søk 245,38 ganger raskere.
10000        | 4197         | 4408         | Array        | 0,005300             | 0,000200 ms          | 1,331200 ms          | 1,331000 ms         Binært søk 26,50 ganger raskere. Med sortering: Lineært søk 251,17 ganger raskere.
10000        | 910          | 4984         | Array        | 0,001400             | 0,000200 ms          | 1,313200 ms          | 1,313000 ms         Binært søk 7,00 ganger raskere. Med sortering: Lineært søk 938,00 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,012200             | 0,000200 ms          | 1,013700 ms          | 1,013500 ms         Binært søk 61,00 ganger raskere. Med sortering: Lineært søk 83,09 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,012600             | 0,000200 ms          | 1,021800 ms          | 1,021600 ms         Binært søk 63,00 ganger raskere. Med sortering: Lineært søk 81,10 ganger raskere.
10000        | Not found    | Not found    | Array        | 0,012600             | 0,000100 ms          | 1,019500 ms          | 1,019400 ms         Binært søk 126,00 ganger raskere. Med sortering: Lineært søk 80,91 ganger raskere.
100000       | 747          | 14392        | Array        | 0,001900             | 0,000300 ms          | 12,538200 ms         | 12,537900 ms        Binært søk 6,33 ganger raskere. Med sortering: Lineært søk 6599,05 ganger raskere.
100000       | 52655        | 37830        | Array        | 0,080100             | 0,000400 ms          | 15,911400 ms         | 15,911000 ms        Binært søk 200,25 ganger raskere. Med sortering: Lineært søk 198,64 ganger raskere.
100000       | 46454        | 10694        | Array        | 0,075400             | 0,000300 ms          | 18,084700 ms         | 18,084400 ms        Binært søk 251,33 ganger raskere. Med sortering: Lineært søk 239,85 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,165900             | 0,000200 ms          | 18,458100 ms         | 18,457900 ms        Binært søk 829,50 ganger raskere. Med sortering: Lineært søk 111,26 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,122400             | 0,000300 ms          | 19,336000 ms         | 19,335700 ms        Binært søk 408,00 ganger raskere. Med sortering: Lineært søk 157,97 ganger raskere.
100000       | Not found    | Not found    | Array        | 0,121800             | 0,000300 ms          | 16,647900 ms         | 16,647600 ms        Binært søk 406,00 ganger raskere. Med sortering: Lineært søk 136,68 ganger raskere.
1000000      | 494216       | 960757       | Array        | 0,603500             | 0,000300 ms          | 159,806500 ms        | 159,806200 ms       Binært søk 2011,67 ganger raskere. Med sortering: Lineært søk 264,80 ganger raskere.
1000000      | 351138       | 873620       | Array        | 0,429400             | 0,000300 ms          | 185,920700 ms        | 185,920400 ms       Binært søk 1431,33 ganger raskere. Med sortering: Lineært søk 432,98 ganger raskere.
1000000      | 154068       | 368772       | Array        | 0,191600             | 0,000300 ms          | 165,292800 ms        | 165,292500 ms       Binært søk 638,67 ganger raskere. Med sortering: Lineært søk 862,70 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,483900             | 0,000300 ms          | 158,741300 ms        | 158,741000 ms       Binært søk 4946,33 ganger raskere. Med sortering: Lineært søk 106,98 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,256700             | 0,000200 ms          | 181,733800 ms        | 181,733600 ms       Binært søk 6283,50 ganger raskere. Med sortering: Lineært søk 144,61 ganger raskere.
1000000      | Not found    | Not found    | Array        | 1,234400             | 0,000300 ms          | 176,485100 ms        | 176,484800 ms       Binært søk 4114,67 ganger raskere. Med sortering: Lineært søk 142,97 ganger raskere.
