Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000000      | Not found    | Not found    | List         | 2,758800             | 0,000300 ms          | 250,589700 ms        | 250,589400 ms       Binært søk 9196,00 ganger raskere. Med sortering: Lineært søk 90,83 ganger raskere.
1000000      | Not found    | Not found    | List         | 4,191500             | 0,000200 ms          | 251,463400 ms        | 251,463200 ms       Binært søk 20957,50 ganger raskere. Med sortering: Lineært søk 59,99 ganger raskere.
10000000     | 4113341      | 1175734      | List         | 14,085300            | 0,001900 ms          | 2882,272200 ms       | 2882,270300 ms      Binært søk 7413,32 ganger raskere. Med sortering: Lineært søk 204,63 ganger raskere.
10000000     | 7312987      | 57098        | List         | 22,088500            | 0,002100 ms          | 2928,198600 ms       | 2928,196500 ms      Binært søk 10518,33 ganger raskere. Med sortering: Lineært søk 132,57 ganger raskere.
10000000     | 3674609      | 2831263      | List         | 14,016600            | 0,002000 ms          | 2930,184700 ms       | 2930,182700 ms      Binært søk 7008,30 ganger raskere. Med sortering: Lineært søk 209,05 ganger raskere.
10000000     | Not found    | Not found    | List         | 35,319500            | 0,001000 ms          | 3587,919400 ms       | 3587,918400 ms      Binært søk 35319,50 ganger raskere. Med sortering: Lineært søk 101,58 ganger raskere.
10000000     | Not found    | Not found    | List         | 38,032300            | 0,001100 ms          | 2961,498000 ms       | 2961,496900 ms      Binært søk 34574,82 ganger raskere. Med sortering: Lineært søk 77,87 ganger raskere.
10000000     | Not found    | Not found    | List         | 36,139800            | 0,000800 ms          | 2891,877600 ms       | 2891,876800 ms      Binært søk 45174,75 ganger raskere. Med sortering: Lineært søk 80,02 ganger raskere.
1000         | 242          | 541          | List         | 0,056600             | 0,050200 ms          | 0,476500 ms          | 0,426300 ms         Binært søk 1,13 ganger raskere. Med sortering: Lineært søk 8,42 ganger raskere.
1000         | 553          | 506          | List         | 0,002500             | 0,000100 ms          | 0,302400 ms          | 0,302300 ms         Binært søk 25,00 ganger raskere. Med sortering: Lineært søk 120,96 ganger raskere.
1000         | 122          | 207          | List         | 0,000500             | 0,000200 ms          | 0,243400 ms          | 0,243200 ms         Binært søk 2,50 ganger raskere. Med sortering: Lineært søk 486,80 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000200 ms          | 0,246100 ms          | 0,245900 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 87,89 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002800             | 0,000200 ms          | 0,242300 ms          | 0,242100 ms         Binært søk 14,00 ganger raskere. Med sortering: Lineært søk 86,54 ganger raskere.
1000         | Not found    | Not found    | List         | 0,002900             | 0,000200 ms          | 0,283900 ms          | 0,283700 ms         Binært søk 14,50 ganger raskere. Med sortering: Lineært søk 97,90 ganger raskere.
10000        | 6649         | 1469         | List         | 0,018100             | 0,000300 ms          | 2,933300 ms          | 2,933000 ms         Binært søk 60,33 ganger raskere. Med sortering: Lineært søk 162,06 ganger raskere.
10000        | 9738         | 4387         | List         | 0,041200             | 0,000300 ms          | 3,576100 ms          | 3,575800 ms         Binært søk 137,33 ganger raskere. Med sortering: Lineært søk 86,80 ganger raskere.
10000        | 3581         | 9440         | List         | 0,014600             | 0,000300 ms          | 3,294600 ms          | 3,294300 ms         Binært søk 48,67 ganger raskere. Med sortering: Lineært søk 225,66 ganger raskere.
10000        | Not found    | Not found    | List         | 0,026900             | 0,000200 ms          | 2,065600 ms          | 2,065400 ms         Binært søk 134,50 ganger raskere. Med sortering: Lineært søk 76,79 ganger raskere.
10000        | Not found    | Not found    | List         | 0,026800             | 0,000200 ms          | 1,997900 ms          | 1,997700 ms         Binært søk 134,00 ganger raskere. Med sortering: Lineært søk 74,55 ganger raskere.
10000        | Not found    | Not found    | List         | 0,044700             | 0,000200 ms          | 2,973800 ms          | 2,973600 ms         Binært søk 223,50 ganger raskere. Med sortering: Lineært søk 66,53 ganger raskere.
100000       | 35745        | 46263        | List         | 0,096100             | 0,000300 ms          | 32,533900 ms         | 32,533600 ms        Binært søk 320,33 ganger raskere. Med sortering: Lineært søk 338,54 ganger raskere.
100000       | 16035        | 35792        | List         | 0,044100             | 0,000300 ms          | 27,827700 ms         | 27,827400 ms        Binært søk 147,00 ganger raskere. Med sortering: Lineært søk 631,01 ganger raskere.
100000       | 67714        | 27044        | List         | 0,180700             | 0,000300 ms          | 24,590800 ms         | 24,590500 ms        Binært søk 602,33 ganger raskere. Med sortering: Lineært søk 136,09 ganger raskere.
