Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 866          | ------       | LinkedList   | 0,005900 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,007200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,004600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,007500 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 485          | ------       | LinkedList   | 0,004300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 6344         | ------       | LinkedList   | 0,026900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 5350         | ------       | LinkedList   | 0,022200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,070500 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,063900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,042000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 15810        | ------       | LinkedList   | 0,064800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 2272         | ------       | LinkedList   | 0,012300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 12273        | ------       | LinkedList   | 0,050300 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,503900 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,626400 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,482500 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 594          | ------       | LinkedList   | 0,397100 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 274          | ------       | LinkedList   | 0,002500 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 764          | ------       | LinkedList   | 0,003700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,006800 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,007000 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Nonexistent  | ------       | LinkedList   | 0,005300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 91           | ------       | LinkedList   | 0,001400 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 1081         | ------       | LinkedList   | 0,008600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 6998         | ------       | LinkedList   | 0,047300 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,068600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,062900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Nonexistent  | ------       | LinkedList   | 0,041100 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 92647        | ------       | LinkedList   | 0,375800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 87771        | ------       | LinkedList   | 0,446700 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 17847        | ------       | LinkedList   | 0,132000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,510000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,582800 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Nonexistent  | ------       | LinkedList   | 0,365900 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 401          | ------       | LinkedList   | 0,294700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 180          | ------       | LinkedList   | 0,001200 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 663          | ------       | LinkedList   | 0,003300 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004700 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,005600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 4326         | ------       | LinkedList   | 0,022600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 452          | ------       | LinkedList   | 0,002900 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 5984         | ------       | LinkedList   | 0,025200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,051100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,041500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 31901        | ------       | LinkedList   | 0,161000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 10199        | ------       | LinkedList   | 0,052000 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | 28525        | ------       | LinkedList   | 0,146200 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,503400 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,689500 ms          | ------ ms            | ------ ms            | ------ ms           
100000       | Not found    | ------       | LinkedList   | 0,333400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 782          | ------       | LinkedList   | 0,290500 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 583          | ------       | LinkedList   | 0,002600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | 811          | ------       | LinkedList   | 0,004400 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,006600 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004500 ms          | ------ ms            | ------ ms            | ------ ms           
1000         | Not found    | ------       | LinkedList   | 0,004600 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 8436         | ------       | LinkedList   | 0,051200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 4809         | ------       | LinkedList   | 0,020000 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | 2055         | ------       | LinkedList   | 0,009100 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,059200 ms          | ------ ms            | ------ ms            | ------ ms           
10000        | Not found    | ------       | LinkedList   | 0,040900 ms          | ------ ms            | ------ ms            | ------ ms           
